VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,PU_Borough,PU_Zone,PU_service_zone,DO_Borough,DO_Zone,DO_service_zone,trip_id
2,2024-01-01 00:26:18.000000,2024-01-01 00:45:18.000000,1.0,4.69,1.0,N,79,141,1,24.0,1.0,0.5,5.8,0.0,1.0,34.8,2.5,0.0,Manhattan,East Village,Yellow Zone,Manhattan,Lenox Hill West,Yellow Zone,301
2,2024-01-01 00:49:09.000000,2024-01-01 01:20:28.000000,1.0,3.15,1.0,N,141,50,1,26.8,1.0,0.5,5.0,0.0,1.0,36.8,2.5,0.0,Manhattan,Lenox Hill West,Yellow Zone,Manhattan,Clinton West,Yellow Zone,302
2,2024-01-01 00:23:00.000000,2024-01-01 00:38:39.000000,2.0,3.05,1.0,N,263,151,1,17.7,1.0,0.5,4.54,0.0,1.0,27.24,2.5,0.0,Manhattan,Yorkville West,Yellow Zone,Manhattan,Manhattan Valley,Yellow Zone,303
2,2024-01-01 00:45:11.000000,2024-01-01 00:47:51.000000,2.0,0.5,1.0,N,151,24,2,5.1,1.0,0.5,0.0,0.0,1.0,7.6,0.0,0.0,Manhattan,Manhattan Valley,Yellow Zone,Manhattan,Bloomingdale,Yellow Zone,304
2,2024-01-01 00:50:57.000000,2024-01-01 01:06:12.000000,1.0,7.59,1.0,N,151,119,1,30.3,1.0,0.5,6.56,0.0,1.0,39.36,0.0,0.0,Manhattan,Manhattan Valley,Yellow Zone,Bronx,Highbridge,Boro Zone,305
2,2024-01-01 00:20:07.000000,2024-01-01 00:30:20.000000,2.0,1.34,1.0,N,234,233,1,11.4,1.0,0.5,4.1,0.0,1.0,20.5,2.5,0.0,Manhattan,Union Sq,Yellow Zone,Manhattan,UN/Turtle Bay South,Yellow Zone,306
2,2024-01-01 00:25:23.000000,2024-01-01 01:18:03.000000,1.0,10.21,1.0,N,246,128,1,61.1,1.0,0.5,13.22,0.0,1.0,79.32,2.5,0.0,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,Manhattan,Inwood Hill Park,Boro Zone,307
1,2024-01-01 00:32:35.000000,2024-01-01 00:52:15.000000,4.0,3.2,1.0,N,144,255,1,20.5,3.5,0.5,2.0,0.0,1.0,27.5,2.5,0.0,Manhattan,Little Italy/NoLiTa,Yellow Zone,Brooklyn,Williamsburg (North Side),Boro Zone,308
1,2024-01-01 00:57:22.000000,2024-01-01 01:15:00.000000,2.0,3.0,1.0,N,256,17,1,18.4,1.0,0.5,5.2,0.0,1.0,26.1,0.0,0.0,Brooklyn,Williamsburg (South Side),Boro Zone,Brooklyn,Bedford,Boro Zone,309
1,2024-01-01 00:37:36.000000,2024-01-01 00:56:58.000000,1.0,3.6,1.0,N,249,65,2,21.9,3.5,0.5,0.0,0.0,1.0,26.9,2.5,0.0,Manhattan,West Village,Yellow Zone,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,310
